Model,Variant,SplitType,TargetPositive,AUC,KS,Lift_10,ProbabilityInverted
RandomForest,Traditional,Random80/20,1,0.5033164704203401,0.01445759297349053,0.9908136482939631,False
RandomForest,Sentiment,Random80/20,1,0.5020015388611522,0.017161171165457123,0.9448818897637794,False
RandomForest,Hybrid,Random80/20,1,0.5034284352168149,0.015008804279211946,0.9580052493438319,False
XGBoost,Traditional,Random80/20,1,0.5046553758959071,0.022849596332104066,1.1023622047244095,True
XGBoost,Sentiment,Random80/20,1,0.5031193463086965,0.011964305670076641,0.9875328083989501,True
XGBoost,Hybrid,Random80/20,1,0.5050731497044602,0.019004708703702022,1.0367454068241468,True
LogisticRegression,Traditional,Random80/20,1,0.5021613335085129,0.015259492160718091,0.9087926509186353,True
LogisticRegression,Sentiment,Random80/20,1,0.5020133370483465,0.015236084557324503,0.902230971128609,True
LogisticRegression,Hybrid,Random80/20,1,0.5004873123238767,0.010857352554751065,0.9448818897637794,True
