Feature,Missing_Count,Missing_Percentage
member_id,97020,100.0
total_il_high_credit_limit,0,0.0
num_tl_op_past_12m,0,0.0
pct_tl_nvr_dlq,0,0.0
percent_bc_gt_75,0,0.0
pub_rec_bankruptcies,0,0.0
tax_liens,0,0.0
tot_hi_cred_lim,0,0.0
total_bal_ex_mort,0,0.0
total_bc_limit,0,0.0
revol_bal_joint,0,0.0
sec_app_num_rev_accts,0,0.0
sec_app_fico_range_low,0,0.0
sec_app_fico_range_high,0,0.0
sec_app_earliest_cr_line,0,0.0
sec_app_inq_last_6mths,0,0.0
sec_app_mort_acc,0,0.0
sec_app_open_acc,0,0.0
sec_app_revol_util,0,0.0
sec_app_open_act_il,0,0.0
num_tl_90g_dpd_24m,0,0.0
id,0,0.0
num_tl_120dpd_2m,0,0.0
num_sats,0,0.0
mo_sin_old_rev_tl_op,0,0.0
mo_sin_rcnt_rev_tl_op,0,0.0
mo_sin_rcnt_tl,0,0.0
mort_acc,0,0.0
mths_since_recent_bc,0,0.0
mths_since_recent_bc_dlq,0,0.0
mths_since_recent_inq,0,0.0
mths_since_recent_revol_delinq,0,0.0
num_accts_ever_120_pd,0,0.0
num_actv_bc_tl,0,0.0
num_actv_rev_tl,0,0.0
num_bc_sats,0,0.0
num_bc_tl,0,0.0
num_il_tl,0,0.0
num_op_rev_tl,0,0.0
num_rev_accts,0,0.0
num_rev_tl_bal_gt_0,0,0.0
num_tl_30dpd,0,0.0
sec_app_chargeoff_within_12_mths,0,0.0
sec_app_collections_12_mths_ex_med,0,0.0
sec_app_mths_since_last_major_derog,0,0.0
settlement_amount,0,0.0
settlement_percentage,0,0.0
settlement_term,0,0.0
description,0,0.0
text_length,0,0.0
word_count,0,0.0
sentence_count,0,0.0
avg_word_length,0,0.0
sentiment_score,0,0.0
sentiment_confidence,0,0.0
financial_keyword_count,0,0.0
positive_word_count,0,0.0
negative_word_count,0,0.0
sentiment_balance,0,0.0
has_positive_words,0,0.0
has_negative_words,0,0.0
has_financial_terms,0,0.0
settlement_date,0,0.0
settlement_status,0,0.0
debt_settlement_flag_date,0,0.0
hardship_end_date,0,0.0
hardship_flag,0,0.0
hardship_type,0,0.0
hardship_reason,0,0.0
hardship_status,0,0.0
deferral_term,0,0.0
hardship_amount,0,0.0
hardship_start_date,0,0.0
payment_plan_start_date,0,0.0
debt_settlement_flag,0,0.0
hardship_length,0,0.0
hardship_dpd,0,0.0
hardship_loan_status,0,0.0
orig_projected_additional_accrued_interest,0,0.0
hardship_payoff_balance_amount,0,0.0
hardship_last_payment_amount,0,0.0
disbursement_method,0,0.0
mo_sin_old_il_acct,0,0.0
delinq_amnt,0,0.0
chargeoff_within_12_mths,0,0.0
title,0,0.0
addr_state,0,0.0
dti,0,0.0
delinq_2yrs,0,0.0
earliest_cr_line,0,0.0
fico_range_low,0,0.0
fico_range_high,0,0.0
inq_last_6mths,0,0.0
mths_since_last_delinq,0,0.0
mths_since_last_record,0,0.0
open_acc,0,0.0
pub_rec,0,0.0
revol_bal,0,0.0
revol_util,0,0.0
total_acc,0,0.0
initial_list_status,0,0.0
out_prncp,0,0.0
out_prncp_inv,0,0.0
zip_code,0,0.0
purpose,0,0.0
bc_util,0,0.0
desc,0,0.0
loan_amnt,0,0.0
funded_amnt,0,0.0
funded_amnt_inv,0,0.0
term,0,0.0
int_rate,0,0.0
installment,0,0.0
grade,0,0.0
sub_grade,0,0.0
emp_title,0,0.0
emp_length,0,0.0
home_ownership,0,0.0
annual_inc,0,0.0
verification_status,0,0.0
issue_d,0,0.0
loan_status,0,0.0
pymnt_plan,0,0.0
url,0,0.0
total_pymnt,0,0.0
total_pymnt_inv,0,0.0
total_rec_prncp,0,0.0
total_rec_int,0,0.0
open_act_il,0,0.0
open_il_12m,0,0.0
open_il_24m,0,0.0
mths_since_rcnt_il,0,0.0
total_bal_il,0,0.0
il_util,0,0.0
open_rv_12m,0,0.0
open_rv_24m,0,0.0
max_bal_bc,0,0.0
all_util,0,0.0
total_rev_hi_lim,0,0.0
inq_fi,0,0.0
total_cu_tl,0,0.0
inq_last_12m,0,0.0
acc_open_past_24mths,0,0.0
avg_cur_bal,0,0.0
bc_open_to_buy,0,0.0
open_acc_6m,0,0.0
tot_cur_bal,0,0.0
tot_coll_amt,0,0.0
last_fico_range_high,0,0.0
total_rec_late_fee,0,0.0
recoveries,0,0.0
collection_recovery_fee,0,0.0
last_pymnt_d,0,0.0
last_pymnt_amnt,0,0.0
next_pymnt_d,0,0.0
last_credit_pull_d,0,0.0
last_fico_range_low,0,0.0
acc_now_delinq,0,0.0
collections_12_mths_ex_med,0,0.0
mths_since_last_major_derog,0,0.0
policy_code,0,0.0
application_type,0,0.0
annual_inc_joint,0,0.0
dti_joint,0,0.0
verification_status_joint,0,0.0
target,0,0.0
