Regime,Approach,AUC,PR_AUC,Std_AUC
target_5%,Late_Fusion,0.5506790947241585,0.18153484380170015,0.04409527951875404
target_5%,Early_Fusion,0.5623015910075809,0.18603224104723343,0.0
target_5%,Attention_Fusion,0.5523752937665011,0.18191875082422798,0.04272668928527819
target_5%,Feature_Selection,0.5609591589963402,0.18307155733224634,0.011567776207811796
target_10%,Late_Fusion,0.5601391308981452,0.23016528980025006,0.02066365079529685
target_10%,Early_Fusion,0.5616687258892741,0.23127850065403735,0.0
target_10%,Attention_Fusion,0.5600402188419721,0.22953253854417474,0.020094987556007252
target_10%,Feature_Selection,0.5559505115764487,0.2264283541471777,0.018095405967115716
target_15%,Late_Fusion,0.5383822105089386,0.2718580775824297,0.010489788117252702
target_15%,Early_Fusion,0.5404317201748569,0.26886806828923,0.0
target_15%,Attention_Fusion,0.5390996627266069,0.27220860204183894,0.01121732833572732
target_15%,Feature_Selection,0.5372209382746219,0.26870530319770997,0.01612274193149551
