Regime,Model,AUC,PR_AUC,AUC_Std,PR_AUC_Std
target_5%,Traditional,0.5580747766709179,0.18958981793398122,0.03237549113742229,0.01873529741050281
target_5%,Entities,0.550880075851643,0.18629817474217714,0.033561544505243374,0.007030474451044675
target_5%,Fine_Grained_Sentiment,0.5477626076024402,0.18337945670579808,0.011922576818279754,0.01252463761230966
target_5%,Text_Complexity,0.5563655647877054,0.1837849483641131,0.02433824742603433,0.014860185012805987
target_5%,Basic_Sentiment,0.4964534403703721,0.1574900912445037,0.021057513656545353,0.008766374928270591
target_5%,Sentiment_Interactions,0.5634963851136686,0.1833397111008474,0.0009810368972271038,0.005907723974093471
target_5%,Entities_Plus_Sentiment,0.5549351539248223,0.1831402710142363,0.028784840030598342,0.012690123418556826
target_5%,Complexity_Plus_Sentiment,0.5598625985903916,0.18430009011399867,0.020745357538582657,0.012953131249045837
target_5%,Fine_Grained_Plus_Entities,0.5495041440540382,0.18539683749671992,0.034259462540843,0.019743892030492902
target_5%,All_Text_Features,0.5489816889068659,0.18315942193221382,0.04257246732356999,0.02337540022267854
target_5%,Hybrid_Enhanced,0.5453433749646087,0.18225737612805532,0.04498777115947849,0.02447419580325494
target_10%,Traditional,0.5656546615488974,0.23707230890162387,0.020886198254451604,0.009775702878768144
target_10%,Entities,0.5627988976836171,0.23914827121636711,0.021931745465862497,0.0077405363150543655
target_10%,Fine_Grained_Sentiment,0.5526900761038662,0.2308171821027086,0.01821197166230499,0.010088736281987011
target_10%,Text_Complexity,0.5695676337285549,0.23982649765324676,0.020125879396967108,0.011849966016300681
target_10%,Basic_Sentiment,0.5030992234692478,0.20742793744261773,0.005897671319335592,0.005828608580782433
target_10%,Sentiment_Interactions,0.5667680760848315,0.23794879972618516,0.021279450256577258,0.011649919180764188
target_10%,Entities_Plus_Sentiment,0.5616819206909783,0.23564900102062553,0.01813016574227095,0.007116288318562705
target_10%,Complexity_Plus_Sentiment,0.564522099071744,0.2353628625509181,0.020718134292354282,0.00966395813556779
target_10%,Fine_Grained_Plus_Entities,0.5592200490933772,0.23341909352487522,0.019452028841847057,0.009969355929692066
target_10%,All_Text_Features,0.5534159490631329,0.2312323079921693,0.018647974344395364,0.007279656800046584
target_10%,Hybrid_Enhanced,0.5532650303952618,0.22917212847563673,0.01868925456687577,0.008603852002901183
target_15%,Traditional,0.5411704018091691,0.2728051864197142,0.014471002315109453,0.015827493876561904
target_15%,Entities,0.5450489473843044,0.2728802493651724,0.01428526142876624,0.013822111018516417
target_15%,Fine_Grained_Sentiment,0.5407106429214926,0.28253924322325524,0.023358431650811147,0.022376137659856014
target_15%,Text_Complexity,0.5475072395196653,0.2782346944660949,0.010282293769179109,0.011866552236040561
target_15%,Basic_Sentiment,0.5114955997768239,0.2566500864738741,0.024523890661235927,0.019363030034245034
target_15%,Sentiment_Interactions,0.5493739927583194,0.2811718145102916,0.014686183706463574,0.011438972080924247
target_15%,Entities_Plus_Sentiment,0.5487812875297701,0.28344526167239464,0.021363633378150573,0.020712834266800182
target_15%,Complexity_Plus_Sentiment,0.5448341414761529,0.2777586138690476,0.014501123665662858,0.017377836442185254
target_15%,Fine_Grained_Plus_Entities,0.5479773005496581,0.28109981361544206,0.024738013428187336,0.023122239858420834
target_15%,All_Text_Features,0.5458718609581814,0.28046184801650254,0.024385422542908868,0.021585613990892125
target_15%,Hybrid_Enhanced,0.5408063522522429,0.2762748092424915,0.02631257241287968,0.020832479837647862
