Target,Model,AUC,PR_AUC,Best_Model
target_5%,Traditional,0.5177 ± 0.0255,0.1732 ± 0.0176,False
target_5%,TF-IDF,0.5115 ± 0.0268,0.1679 ± 0.0175,False
target_5%,Lexicon,0.5073 ± 0.0069,0.1633 ± 0.0057,False
target_5%,Embedding,0.5019 ± 0.0271,0.1683 ± 0.0168,False
target_5%,Raw_Sentiment,0.5146 ± 0.0262,0.1681 ± 0.0143,False
target_5%,Sentiment_Polarity,0.5016 ± 0.0127,0.1611 ± 0.0076,False
target_5%,Sentiment_Confidence,0.5039 ± 0.0171,0.1614 ± 0.0095,False
target_5%,Sentiment_All,0.5177 ± 0.0179,0.1726 ± 0.0163,False
target_5%,Sentiment_Interactions,0.5026 ± 0.0271,0.1694 ± 0.0165,False
target_5%,Hybrid,0.5331 ± 0.0171,0.1750 ± 0.0138,True
target_10%,Traditional,0.5101 ± 0.0113,0.2132 ± 0.0066,False
target_10%,TF-IDF,0.5199 ± 0.0129,0.2231 ± 0.0043,True
target_10%,Lexicon,0.5080 ± 0.0051,0.2075 ± 0.0031,False
target_10%,Embedding,0.5185 ± 0.0202,0.2168 ± 0.0151,False
target_10%,Raw_Sentiment,0.4903 ± 0.0128,0.2068 ± 0.0110,False
target_10%,Sentiment_Polarity,0.5031 ± 0.0160,0.2046 ± 0.0083,False
target_10%,Sentiment_Confidence,0.4915 ± 0.0133,0.2055 ± 0.0093,False
target_10%,Sentiment_All,0.5144 ± 0.0093,0.2119 ± 0.0059,False
target_10%,Sentiment_Interactions,0.5159 ± 0.0169,0.2224 ± 0.0078,False
target_10%,Hybrid,0.4987 ± 0.0350,0.1996 ± 0.0195,False
target_15%,Traditional,0.4930 ± 0.0172,0.2504 ± 0.0109,False
target_15%,TF-IDF,0.5030 ± 0.0104,0.2569 ± 0.0081,False
target_15%,Lexicon,0.4941 ± 0.0078,0.2479 ± 0.0056,False
target_15%,Embedding,0.4892 ± 0.0246,0.2500 ± 0.0134,False
target_15%,Raw_Sentiment,0.5048 ± 0.0223,0.2572 ± 0.0150,False
target_15%,Sentiment_Polarity,0.5086 ± 0.0097,0.2542 ± 0.0093,False
target_15%,Sentiment_Confidence,0.5045 ± 0.0218,0.2544 ± 0.0089,False
target_15%,Sentiment_All,0.5158 ± 0.0193,0.2575 ± 0.0111,True
target_15%,Sentiment_Interactions,0.4966 ± 0.0142,0.2518 ± 0.0097,False
target_15%,Hybrid,0.5135 ± 0.0118,0.2531 ± 0.0138,False
