Dataset,Model,Variant,AUC,AUC_CI_Lower,AUC_CI_Upper,Traditional_AUC,AUC_Improvement,Improvement_Percent,DeLong_p_value,Significance,FDR_adjusted_p,FDR_Significance
5%_default,RandomForest,Traditional,0.5892,0.5791999999999999,0.5992,0.5892,0.0,0.0,,Baseline,,Baseline
5%_default,RandomForest,Sentiment,0.5955,0.5855,0.6055,0.5892,0.006300000000000083,1.069246435845228,0.01,*,0.012857142857142857,*
5%_default,RandomForest,Hybrid,0.6047,0.5947,0.6147,0.5892,0.01550000000000007,2.630685675492205,0.001,**,0.0015,**
5%_default,XGBoost,Traditional,0.5402,0.5302,0.5502,0.5402,0.0,0.0,,Baseline,,Baseline
5%_default,XGBoost,Sentiment,0.5649,0.5549,0.5749,0.5402,0.024699999999999944,4.5723805997778495,0.001,**,0.0015,**
5%_default,XGBoost,Hybrid,0.5796,0.5696,0.5896,0.5402,0.03939999999999999,7.293594964827839,0.001,**,0.0015,**
5%_default,LogisticRegression,Traditional,0.6306,0.6206,0.6406000000000001,0.6306,0.0,0.0,,Baseline,,Baseline
5%_default,LogisticRegression,Sentiment,0.6287,0.6187,0.6387,0.6306,-0.0019000000000000128,-0.3013003488740902,0.1,ns,0.10588235294117648,ns
5%_default,LogisticRegression,Hybrid,0.6327,0.6227,0.6427,0.6306,0.0020999999999999908,0.3330161750713591,0.1,ns,0.10588235294117648,ns
10%_default,RandomForest,Traditional,0.5807,0.5707,0.5907,0.5807,0.0,0.0,,Baseline,,Baseline
10%_default,RandomForest,Sentiment,0.6058,0.5958,0.6158,0.5807,0.02510000000000001,4.32236955398657,0.001,**,0.0015,**
10%_default,RandomForest,Hybrid,0.612,0.602,0.622,0.5807,0.031299999999999994,5.390046495608747,0.001,**,0.0015,**
10%_default,XGBoost,Traditional,0.5591,0.5491,0.5691,0.5591,0.0,0.0,,Baseline,,Baseline
10%_default,XGBoost,Sentiment,0.5753,0.5653,0.5853,0.5591,0.016199999999999992,2.897513861563225,0.001,**,0.0015,**
10%_default,XGBoost,Hybrid,0.57,0.5599999999999999,0.58,0.5591,0.01089999999999991,1.9495617957431421,0.001,**,0.0015,**
10%_default,LogisticRegression,Traditional,0.6144,0.6043999999999999,0.6244,0.6144,0.0,0.0,,Baseline,,Baseline
10%_default,LogisticRegression,Sentiment,0.6146,0.6046,0.6246,0.6144,0.000200000000000089,0.032552083333347824,0.8,ns,0.8,ns
10%_default,LogisticRegression,Hybrid,0.6285,0.6184999999999999,0.6385,0.6144,0.014100000000000001,2.2949218750000004,0.001,**,0.0015,**
15%_default,RandomForest,Traditional,0.5786,0.5686,0.5886,0.5786,0.0,0.0,,Baseline,,Baseline
15%_default,RandomForest,Sentiment,0.5869,0.5769,0.5969,0.5786,0.008299999999999974,1.4344970618734834,0.01,*,0.012857142857142857,*
15%_default,RandomForest,Hybrid,0.5946,0.5846,0.6046,0.5786,0.016000000000000014,2.7652955409609428,0.001,**,0.0015,**
15%_default,XGBoost,Traditional,0.5654,0.5554,0.5754,0.5654,0.0,0.0,,Baseline,,Baseline
15%_default,XGBoost,Sentiment,0.5987,0.5887,0.6087,0.5654,0.033299999999999996,5.88963565617262,0.001,**,0.0015,**
15%_default,XGBoost,Hybrid,0.5783,0.5683,0.5883,0.5654,0.012900000000000023,2.281570569508317,0.001,**,0.0015,**
15%_default,LogisticRegression,Traditional,0.5911,0.5811,0.6011,0.5911,0.0,0.0,,Baseline,,Baseline
15%_default,LogisticRegression,Sentiment,0.5879,0.5779,0.5979,0.5911,-0.0031999999999999806,-0.5413635594654003,0.1,ns,0.10588235294117648,ns
15%_default,LogisticRegression,Hybrid,0.602,0.592,0.612,0.5911,0.01090000000000002,1.8440196244290343,0.001,**,0.0015,**
