Dataset,Model,Variant,AUC,Default_Rate,AUC_Improvement,Brier_Improvement,Features
5%_default,RandomForest,Sentiment,0.5955,0.093,+0.0064,0.0000,29
5%_default,RandomForest,Hybrid,0.6047,0.093,+0.0156,0.0003,32
5%_default,XGBoost,Sentiment,0.5649,0.093,+0.0247,0.0013,29
5%_default,XGBoost,Hybrid,0.5796,0.093,+0.0394,0.0014,32
5%_default,LogisticRegression,Sentiment,0.6287,0.093,-0.0019,0.0000,29
5%_default,LogisticRegression,Hybrid,0.6327,0.093,+0.0021,-0.0001,32
10%_default,RandomForest,Sentiment,0.6058,0.170,+0.0251,0.0021,29
10%_default,RandomForest,Hybrid,0.6120,0.170,+0.0313,0.0022,32
10%_default,XGBoost,Sentiment,0.5753,0.170,+0.0162,0.0017,29
10%_default,XGBoost,Hybrid,0.5700,0.170,+0.0109,0.0009,32
10%_default,LogisticRegression,Sentiment,0.6146,0.170,+0.0001,0.0000,29
10%_default,LogisticRegression,Hybrid,0.6285,0.170,+0.0141,0.0007,32
15%_default,RandomForest,Sentiment,0.5869,0.235,+0.0083,0.0007,29
15%_default,RandomForest,Hybrid,0.5946,0.235,+0.0160,0.0016,32
15%_default,XGBoost,Sentiment,0.5987,0.235,+0.0333,0.0037,29
15%_default,XGBoost,Hybrid,0.5783,0.235,+0.0130,0.0003,32
15%_default,LogisticRegression,Sentiment,0.5879,0.235,-0.0031,-0.0003,29
15%_default,LogisticRegression,Hybrid,0.6020,0.235,+0.0109,0.0003,32
